route,fare_class,price
BLR-HYD,Premium,6852
BLR-HYD,Business,16970
DEL-BOM,Economy,3688
DEL-BOM,Premium,9170
DEL-BOM,Business,12000
DEL-BLR,Economy,4668
DEL-BLR,Premium,6713
DEL-BLR,Business,12048
BOM-BLR,Economy,3684
BOM-BLR,Premium,7823
BOM-BLR,Business,10249
DEL-HYD,Economy,3437
DEL-HYD,Premium,7984
DEL-HYD,Business,16544
BLR-HYD,Economy,5814
BLR-HYD,Premium,8122
BLR-HYD,Business,16949
DEL-BOM,Economy,5145
DEL-BOM,Premium,8482
DEL-BOM,Business,14637
DEL-BLR,Economy,5128
DEL-BLR,Premium,8231
DEL-BLR,Business,15971
BOM-BLR,Economy,5593
BOM-BLR,Premium,9823
BOM-BLR,Business,17350
DEL-HYD,Economy,5142
DEL-HYD,Premium,6359
DEL-HYD,Business,10666
BLR-HYD,Economy,3671
BLR-HYD,Premium,7489
BLR-HYD,Business,16981
DEL-BOM,Economy,5692
DEL-BOM,Premium,7968
DEL-BOM,Business,16190
DEL-BLR,Economy,5261
DEL-BLR,Premium,6047
DEL-BLR,Business,11276
BOM-BLR,Economy,5766
BOM-BLR,Premium,6525
BOM-BLR,Business,14621
DEL-HYD,Economy,3882
DEL-HYD,Premium,8797
DEL-HYD,Business,11906
BLR-HYD,Business,16288
DEL-BOM,Economy,5072
DEL-BOM,Premium,8156
DEL-BOM,Business,19685
DEL-BLR,Economy,3622
DEL-BLR,Premium,8660
DEL-BLR,Business,10876
BOM-BLR,Economy,4312
BOM-BLR,Premium,8671
BOM-BLR,Business,13735
DEL-HYD,Economy,4160
DEL-HYD,Premium,6228
DEL-HYD,Business,18195
BLR-HYD,Economy,3645
BLR-HYD,Premium,7464
BLR-HYD,Business,16316
DEL-BOM,Economy,4668
DEL-BOM,Premium,6723
DEL-BOM,Business,12048
DEL-BLR,Economy,3653
DEL-BLR,Premium,6138
DEL-BLR,Business,10009
BOM-BLR,Economy,4942
BOM-BLR,Premium,7191
BOM-BLR,Business,12832
DEL-HYD,Economy,4994
DEL-HYD,Premium,9888
DEL-HYD,Business,11908
BLR-HYD,Economy,4160
BLR-HYD,Premium,7319
BLR-HYD,Business,18007
DEL-BOM,Economy,3872
DEL-BOM,Premium,7314
DEL-BOM,Business,17546
DEL-BLR,Economy,5621
DEL-BLR,Premium,8449
DEL-BLR,Business,17804
BOM-BLR,Economy,4888
BOM-BLR,Premium,8712
BOM-BLR,Business,11970
DEL-HYD,Economy,5626
DEL-HYD,Premium,9571
DEL-HYD,Business,18669
BLR-HYD,Economy,3419
BLR-HYD,Premium,8336
BLR-HYD,Business,14612
DEL-BOM,Economy,4865
DEL-BOM,Premium,8275
DEL-BOM,Business,13719
DEL-BLR,Economy,5094
DEL-BLR,Premium,9482
DEL-BLR,Business,10793
BOM-BLR,Economy,5116
BOM-BLR,Premium,8349
BOM-BLR,Business,17783
DEL-HYD,Economy,4639
DEL-HYD,Premium,9204
DEL-HYD,Business,18795
BLR-HYD,Economy,4928
BLR-HYD,Premium,7430
BLR-HYD,Business,13417
DEL-BOM,Economy,5467
DEL-BOM,Premium,6566
DEL-BOM,Business,17112
DEL-BLR,Economy,3201
DEL-BLR,Premium,9874
DEL-BLR,Business,17973
BOM-BLR,Premium,6938
BOM-BLR,Business,11205
DEL-HYD,Economy,3024
DEL-HYD,Premium,8224
DEL-HYD,Business,12713
BLR-HYD,Economy,4492
BLR-HYD,Premium,9432
BLR-HYD,Business,15182
DEL-BOM,Economy,5608
DEL-BOM,Premium,8262
DEL-BOM,Business,12079
DEL-BLR,Economy,5332
DEL-BLR,Premium,6768
DEL-BLR,Business,15083
BOM-BLR,Economy,5161
BOM-BLR,Premium,9715
BOM-BLR,Business,18038
DEL-HYD,Economy,3799
DEL-HYD,Premium,9451
DEL-HYD,Business,10832
BLR-HYD,Economy,5806
BLR-HYD,Premium,9310
BLR-HYD,Business,17970
DEL-BOM,Economy,4111
DEL-BOM,Premium,8538
DEL-BOM,Business,15005
DEL-BLR,Economy,3943
DEL-BLR,Premium,9744
DEL-BLR,Business,13452
BOM-BLR,Economy,4571
BOM-BLR,Premium,8862
BOM-BLR,Business,11409
DEL-HYD,Economy,3395
DEL-HYD,Premium,7757
DEL-HYD,Business,11387
BLR-HYD,Economy,3592
BLR-HYD,Premium,6735
BLR-HYD,Business,12599
DEL-BOM,Economy,4781
DEL-BOM,Premium,6441
DEL-BOM,Business,15475
DEL-BLR,Economy,5981
DEL-BLR,Premium,6587
DEL-BLR,Business,17992
BOM-BLR,Economy,3645
BOM-BLR,Premium,7772
BOM-BLR,Business,19900
DEL-HYD,Economy,5969
DEL-HYD,Premium,6129
DEL-HYD,Business,12866
BLR-HYD,Economy,4394
BLR-HYD,Premium,8058
BLR-HYD,Business,19442
DEL-BOM,Economy,3097
DEL-BOM,Premium,6405
DEL-BOM,Business,17715
DEL-BLR,Economy,4762
DEL-BLR,Premium,6481
DEL-BLR,Business,15136
BOM-BLR,Economy,4240
BOM-BLR,Premium,6024
BOM-BLR,Business,18363
DEL-HYD,Economy,3101
DEL-HYD,Premium,9115
DEL-HYD,Business,13640
BLR-HYD,Economy,4520
BLR-HYD,Premium,6338
BLR-HYD,Business,12421
DEL-BOM,Economy,5513
DEL-BOM,Premium,9948
DEL-BOM,Business,14806
DEL-BLR,Economy,4817
DEL-BLR,Premium,6628
DEL-BLR,Business,18007
BOM-BLR,Economy,3726
BOM-BLR,Premium,9042
BOM-BLR,Business,19374
DEL-HYD,Economy,5667
DEL-HYD,Premium,8852
DEL-HYD,Business,16640
BLR-HYD,Economy,4372
BLR-HYD,Premium,9232
BLR-HYD,Business,18502
DEL-BOM,Economy,3545
DEL-BOM,Premium,9487
DEL-BOM,Business,12032
DEL-BLR,Economy,3244
DEL-BLR,Premium,8973
DEL-BLR,Business,13760
BOM-BLR,Economy,4165
BOM-BLR,Premium,7981
BOM-BLR,Business,18173
DEL-HYD,Economy,3398
DEL-HYD,Premium,9211
DEL-HYD,Business,14805
BLR-HYD,Economy,4463
BLR-HYD,Premium,8273
BLR-HYD,Business,17827
DEL-BOM,Economy,4333
DEL-BOM,Premium,6824
DEL-BOM,Business,16402
DEL-BLR,Economy,4796
DEL-BLR,Premium,9170
DEL-BLR,Business,12466
BOM-BLR,Economy,3849
BOM-BLR,Premium,9810
BOM-BLR,Business,14675
DEL-HYD,Economy,4380
DEL-HYD,Premium,9394
DEL-HYD,Business,16881
BLR-HYD,Economy,3169
BLR-HYD,Premium,6954
BLR-HYD,Business,15370
DEL-BOM,Economy,4199
DEL-BOM,Premium,9020
DEL-BOM,Business,19516
DEL-BLR,Economy,5396
DEL-BLR,Premium,9111
DEL-BLR,Business,11312
BOM-BLR,Economy,3215
BOM-BLR,Premium,8400
BOM-BLR,Business,19908
DEL-HYD,Economy,3355
DEL-HYD,Premium,8054
DEL-HYD,Business,17561
BLR-HYD,Economy,5410
BLR-HYD,Premium,8403
BLR-HYD,Business,15343
DEL-BOM,Economy,4690
DEL-BOM,Premium,6699
DEL-BOM,Business,11007
DEL-BLR,Economy,5514
DEL-BLR,Premium,6571
DEL-BLR,Business,17059
BOM-BLR,Economy,3483
BOM-BLR,Premium,6917
BOM-BLR,Business,14569
DEL-HYD,Economy,5257
DEL-HYD,Premium,6715
DEL-HYD,Business,15126
BLR-HYD,Economy,3906
BLR-HYD,Premium,9999
BLR-HYD,Business,17266
DEL-BOM,Economy,3038
DEL-BOM,Premium,7098
DEL-BOM,Business,13155
DEL-BLR,Economy,4562
DEL-BLR,Premium,9511
DEL-BLR,Business,14179
BOM-BLR,Economy,4682
BOM-BLR,Premium,9963
BOM-BLR,Business,13056
DEL-HYD,Economy,3791
DEL-HYD,Premium,7083
DEL-HYD,Business,11050
BLR-HYD,Economy,5035
BLR-HYD,Premium,7559
BLR-HYD,Business,10526
DEL-BOM,Economy,5781
DEL-BOM,Premium,7016
DEL-BOM,Business,16644
DEL-BLR,Economy,5433
DEL-BLR,Premium,9788
DEL-BLR,Business,11389
BOM-BLR,Economy,3165
BOM-BLR,Premium,8848
BOM-BLR,Business,10213
DEL-HYD,Economy,4111
DEL-HYD,Premium,9534
DEL-HYD,Business,12720
BLR-HYD,Economy,4951
BLR-HYD,Premium,8848
BLR-HYD,Business,17833
DEL-BOM,Economy,5241
DEL-BOM,Business,11895
DEL-BLR,Economy,4986
DEL-BLR,Premium,9144
DEL-BLR,Business,13911
BOM-BLR,Economy,4883
BOM-BLR,Premium,6250
BOM-BLR,Business,10207
DEL-HYD,Economy,3021
DEL-HYD,Premium,9771
DEL-HYD,Business,11560
BLR-HYD,Economy,4266
BLR-HYD,Premium,7927
BLR-HYD,Business,13665
DEL-BOM,Economy,3661
DEL-BOM,Premium,9714
DEL-BOM,Business,16078
DEL-BLR,Economy,3902
DEL-BLR,Premium,6956
DEL-BLR,Business,19579
BOM-BLR,Economy,5579
BOM-BLR,Premium,8994
BOM-BLR,Business,15631
DEL-HYD,Economy,5382
DEL-HYD,Premium,7394
DEL-HYD,Business,10529
BLR-HYD,Economy,5068
BLR-HYD,Premium,9591
BLR-HYD,Business,16477
DEL-BOM,Economy,3374
DEL-BOM,Premium,7851
DEL-BLR,Economy,3837
DEL-BLR,Premium,6260
DEL-BLR,Business,13374
BOM-BLR,Economy,3629
BOM-BLR,Premium,6861
BOM-BLR,Business,15895
DEL-HYD,Economy,5560
DEL-HYD,Premium,7307
DEL-HYD,Business,16116
BLR-HYD,Economy,5352
BLR-HYD,Premium,8203
BLR-HYD,Business,10956
DEL-BOM,Economy,5381
DEL-BOM,Premium,6281
DEL-BOM,Business,15178
DEL-BLR,Economy,4184
DEL-BLR,Premium,6275
DEL-BLR,Business,17473
BOM-BLR,Economy,4208
BOM-BLR,Premium,9499
BOM-BLR,Business,11969
DEL-HYD,Economy,3374
DEL-HYD,Premium,7799
DEL-HYD,Business,19710
BLR-HYD,Economy,4198
BLR-HYD,Premium,9485
BLR-HYD,Business,10986
DEL-BOM,Economy,3344
DEL-BOM,Premium,7999
DEL-BOM,Business,18125
DEL-BLR,Economy,4608
DEL-BLR,Premium,8828
DEL-BLR,Business,19539
BOM-BLR,Economy,3493
BOM-BLR,Premium,7000
BOM-BLR,Business,11367
DEL-HYD,Economy,3454
DEL-HYD,Premium,8190
DEL-HYD,Business,15592
BLR-HYD,Economy,3304
BLR-HYD,Premium,9338
BLR-HYD,Business,12989
DEL-BOM,Economy,4026
DEL-BOM,Premium,8501
DEL-BOM,Business,14399
DEL-BLR,Economy,4763
DEL-BLR,Premium,7349
DEL-BLR,Business,19206
BOM-BLR,Economy,4838
BOM-BLR,Premium,7827
BOM-BLR,Business,10140
DEL-HYD,Economy,4825
DEL-HYD,Premium,9610
DEL-HYD,Business,17311
BLR-HYD,Economy,4443
BLR-HYD,Premium,8691
BLR-HYD,Business,11286
DEL-BOM,Economy,4062
DEL-BOM,Premium,8345
DEL-BOM,Business,11798
DEL-BLR,Economy,4408
DEL-BLR,Premium,8606
DEL-BLR,Business,19435
BOM-BLR,Economy,3520
BOM-BLR,Premium,7660
BOM-BLR,Business,15699
DEL-HYD,Economy,5711
DEL-HYD,Premium,6145
DEL-HYD,Business,19776
BLR-HYD,Economy,4249
BLR-HYD,Premium,9503
BLR-HYD,Business,17622
DEL-BOM,Economy,4546
DEL-BOM,Premium,8556
DEL-BOM,Business,14358
DEL-BLR,Economy,4577
DEL-BLR,Premium,6998
DEL-BLR,Business,11125
BOM-BLR,Economy,5335
BOM-BLR,Premium,7764
BOM-BLR,Business,15472
DEL-HYD,Economy,4093
DEL-HYD,Premium,8875
DEL-HYD,Business,14255
BLR-HYD,Economy,5823
BLR-HYD,Premium,9061
BLR-HYD,Business,18533
DEL-BOM,Economy,4153
DEL-BOM,Premium,7232
DEL-BOM,Business,14211
DEL-BLR,Economy,3661
DEL-BLR,Premium,8665
DEL-BLR,Business,13083
BOM-BLR,Economy,4423
BOM-BLR,Premium,9613
BOM-BLR,Business,19732
DEL-HYD,Economy,4271
DEL-HYD,Premium,6148
DEL-HYD,Business,14895
BLR-HYD,Economy,4012
BLR-HYD,Premium,7686
BLR-HYD,Business,12817
DEL-BOM,Economy,3834
DEL-BOM,Premium,9267
DEL-BOM,Business,14437
DEL-BLR,Economy,3243
DEL-BLR,Premium,8725
BOM-BLR,Economy,3947
BOM-BLR,Premium,9746
BOM-BLR,Business,17373
DEL-HYD,Economy,5001
DEL-HYD,Premium,8869
DEL-HYD,Business,19325
BLR-HYD,Economy,3821
BLR-HYD,Premium,7048
BLR-HYD,Business,12964
DEL-BOM,Economy,4603
DEL-BOM,Premium,9679
DEL-BOM,Business,15947
DEL-BLR,Economy,5719
DEL-BLR,Premium,8710
DEL-BLR,Business,16488
BOM-BLR,Economy,5429
BOM-BLR,Premium,7486
BOM-BLR,Business,15448
DEL-HYD,Economy,3189
DEL-HYD,Premium,8811
DEL-HYD,Business,15671
BLR-HYD,Economy,5148
BLR-HYD,Premium,6419
BLR-HYD,Business,17870
DEL-BOM,Economy,3767
DEL-BOM,Premium,7206
DEL-BOM,Business,14837
DEL-BLR,Economy,5708
DEL-BLR,Premium,7446
DEL-BLR,Business,18433
BOM-BLR,Economy,5020
BOM-BLR,Business,12355
DEL-HYD,Economy,5557
DEL-HYD,Premium,9835
DEL-HYD,Business,16164
BLR-HYD,Economy,5444
BLR-HYD,Premium,6424
BLR-HYD,Business,16172
DEL-BOM,Economy,3241
DEL-BOM,Premium,6758
DEL-BOM,Business,17099
DEL-BLR,Economy,3855
DEL-BLR,Premium,7031
DEL-BLR,Business,17788
BOM-BLR,Economy,3407
BOM-BLR,Premium,6147
BOM-BLR,Business,19866
DEL-HYD,Premium,9562
DEL-HYD,Business,15439
BLR-HYD,Economy,4573
BLR-HYD,Premium,9719
BLR-HYD,Business,13009
DEL-BOM,Economy,3962
DEL-BOM,Premium,7613
DEL-BOM,Business,14285
DEL-BLR,Economy,4801
DEL-BLR,Premium,7511
DEL-BLR,Business,16303
BOM-BLR,Economy,4311
BOM-BLR,Premium,8320
BOM-BLR,Business,14583
DEL-HYD,Economy,3845
DEL-HYD,Premium,8461
DEL-HYD,Business,19759
BLR-HYD,Economy,3038
BLR-HYD,Premium,9468
BLR-HYD,Business,17527
DEL-BOM,Economy,3662
DEL-BOM,Premium,6234
DEL-BOM,Business,13537
DEL-BLR,Economy,5588
DEL-BLR,Premium,9633
DEL-BLR,Business,18652
BOM-BLR,Economy,5468
BOM-BLR,Premium,7653
BOM-BLR,Business,15926
DEL-HYD,Economy,4304
DEL-HYD,Premium,6361
DEL-HYD,Business,19476
BLR-HYD,Economy,3448
BLR-HYD,Premium,9937
BLR-HYD,Business,16445
DEL-BOM,Economy,5984
DEL-BOM,Premium,8979
DEL-BOM,Business,11037
DEL-BLR,Economy,5634
DEL-BLR,Premium,6697
DEL-BLR,Business,19235
BOM-BLR,Economy,5583
BOM-BLR,Premium,9813
BOM-BLR,Business,15891
DEL-HYD,Economy,3940
DEL-HYD,Premium,8745
DEL-HYD,Business,10161
BLR-HYD,Economy,3593
BLR-HYD,Premium,6405
BLR-HYD,Business,15433
DEL-BOM,Economy,5974
DEL-BOM,Premium,7373
DEL-BOM,Business,11136
DEL-BLR,Economy,3970
DEL-BLR,Premium,6160
DEL-BLR,Business,12010
BOM-BLR,Economy,4733
BOM-BLR,Premium,9942
BOM-BLR,Business,18329
DEL-HYD,Economy,4794
DEL-HYD,Premium,8757
DEL-HYD,Business,11449
BLR-HYD,Economy,3921
BLR-HYD,Premium,8096
BLR-HYD,Business,19817
DEL-BOM,Economy,3637
DEL-BOM,Premium,8839
DEL-BOM,Business,10685
DEL-BLR,Economy,3187
DEL-BLR,Premium,6984
DEL-BLR,Business,14713
BOM-BLR,Economy,4365
BOM-BLR,Premium,9291
BOM-BLR,Business,12014
DEL-HYD,Economy,3204
DEL-HYD,Premium,7251
DEL-HYD,Business,12297
BLR-HYD,Economy,4464
BLR-HYD,Premium,9590
BLR-HYD,Business,19135
DEL-BOM,Economy,4449
DEL-BOM,Premium,8189
DEL-BOM,Business,13670
DEL-BLR,Economy,5352
DEL-BLR,Premium,6383
DEL-BLR,Business,17875
BOM-BLR,Economy,5537
BOM-BLR,Premium,7687
BOM-BLR,Business,12090
DEL-HYD,Economy,5470
DEL-HYD,Premium,7517
DEL-HYD,Business,11537
BLR-HYD,Economy,4080
BLR-HYD,Premium,6434
BLR-HYD,Business,18174
DEL-BOM,Economy,4317
DEL-BOM,Premium,7727
DEL-BOM,Business,12324
DEL-BLR,Economy,4177
DEL-BLR,Premium,8261
DEL-BLR,Business,11749
BOM-BLR,Economy,5651
BOM-BLR,Premium,9867
BOM-BLR,Business,15879
DEL-HYD,Economy,4991
DEL-HYD,Premium,8274
DEL-HYD,Business,12426
BLR-HYD,Economy,4450
BLR-HYD,Premium,8551
BLR-HYD,Business,12555
DEL-BOM,Economy,5211
DEL-BOM,Premium,6558
DEL-BOM,Business,16971
DEL-BLR,Premium,6258
DEL-BLR,Business,16629
BOM-BLR,Economy,5267
BOM-BLR,Premium,8975
BOM-BLR,Business,17133
DEL-HYD,Economy,4781
DEL-HYD,Premium,7930
DEL-HYD,Business,15108
BLR-HYD,Economy,3669
BLR-HYD,Premium,7125
BLR-HYD,Business,18004
DEL-BOM,Economy,5178
DEL-BOM,Premium,9737
DEL-BOM,Business,10645
DEL-BLR,Economy,4418
DEL-BLR,Premium,8504
DEL-BLR,Business,19177
BOM-BLR,Economy,5203
BOM-BLR,Premium,7698
BOM-BLR,Business,15433
DEL-HYD,Economy,5326
DEL-HYD,Premium,8884
DEL-HYD,Business,19122
BLR-HYD,Economy,3723
BLR-HYD,Premium,6935
BLR-HYD,Business,16344
DEL-BOM,Economy,3123
DEL-BOM,Premium,8238
DEL-BOM,Business,15925
DEL-BLR,Economy,3532
DEL-BLR,Premium,9373
DEL-BLR,Business,17568
BOM-BLR,Economy,3392
BOM-BLR,Premium,7138
BOM-BLR,Business,11377
DEL-HYD,Economy,5605
DEL-HYD,Premium,6839
DEL-HYD,Business,18472
BLR-HYD,Economy,5903
BLR-HYD,Premium,6661
BLR-HYD,Business,19641
DEL-BOM,Economy,5331
DEL-BOM,Premium,7659
DEL-BOM,Business,14493
DEL-BLR,Economy,3933
DEL-BLR,Premium,6285
DEL-BLR,Business,11762
BOM-BLR,Economy,5269
BOM-BLR,Premium,7799
BOM-BLR,Business,13198
DEL-HYD,Economy,5524
DEL-HYD,Premium,7058
DEL-HYD,Business,11492
BLR-HYD,Economy,4348
BLR-HYD,Premium,9755
BLR-HYD,Business,19168
DEL-BOM,Economy,4031
DEL-BOM,Premium,8379
DEL-BOM,Business,10526
DEL-BLR,Economy,3658
DEL-BLR,Premium,8580
DEL-BLR,Business,13740
BOM-BLR,Economy,3131
BOM-BLR,Premium,6771
BOM-BLR,Business,10193
DEL-HYD,Economy,5394
DEL-HYD,Premium,9333
DEL-HYD,Business,14875
BLR-HYD,Economy,3729
BLR-HYD,Premium,9520
BLR-HYD,Business,15410
DEL-BOM,Economy,5796
DEL-BOM,Premium,6997
DEL-BOM,Business,14650
DEL-BLR,Economy,3891
DEL-BLR,Premium,9828
DEL-BLR,Business,16376
BOM-BLR,Economy,4367
BOM-BLR,Premium,7812
BOM-BLR,Business,15670
DEL-HYD,Economy,4727
DEL-HYD,Premium,7356
DEL-HYD,Business,18210
BLR-HYD,Economy,3583
BLR-HYD,Premium,9311
BLR-HYD,Business,10987
DEL-BOM,Economy,3858
DEL-BOM,Premium,9760
DEL-BOM,Business,14033
DEL-BLR,Economy,3989
DEL-BLR,Premium,9730
DEL-BLR,Business,13808
BOM-BLR,Economy,5702
BOM-BLR,Premium,6201
BOM-BLR,Business,19101
DEL-HYD,Economy,5760
DEL-HYD,Premium,9155
DEL-HYD,Business,16439
BLR-HYD,Economy,4104
BLR-HYD,Premium,9033
BLR-HYD,Business,14318
DEL-BOM,Economy,4431
DEL-BOM,Premium,7461
DEL-BOM,Business,13500
DEL-BLR,Economy,5120
DEL-BLR,Premium,7823
DEL-BLR,Business,13134
BOM-BLR,Economy,3359
BOM-BLR,Premium,7943
BOM-BLR,Business,13267
DEL-HYD,Economy,4591
DEL-HYD,Premium,9740
DEL-HYD,Business,15546
BLR-HYD,Economy,5442
BLR-HYD,Premium,7415
BLR-HYD,Business,11054
DEL-BOM,Economy,4648
DEL-BOM,Premium,7399
DEL-BOM,Business,17939
DEL-BLR,Economy,4178
DEL-BLR,Premium,8309
DEL-BLR,Business,14009
BOM-BLR,Economy,5172
BOM-BLR,Premium,7731
BOM-BLR,Business,14154
DEL-HYD,Economy,5685
DEL-HYD,Premium,6067
DEL-HYD,Business,18556
BLR-HYD,Economy,3820
BLR-HYD,Premium,7377
BLR-HYD,Business,10340
DEL-BOM,Economy,3382
DEL-BOM,Premium,6358
DEL-BOM,Business,19495
DEL-BLR,Economy,5530
DEL-BLR,Premium,6995
DEL-BLR,Business,16905
BOM-BLR,Economy,3164
BOM-BLR,Premium,6656
BOM-BLR,Business,16207
DEL-HYD,Economy,4140
DEL-HYD,Premium,9630
DEL-HYD,Business,10475
BLR-HYD,Economy,3976
BLR-HYD,Premium,9595
BLR-HYD,Business,15867
DEL-BOM,Economy,3863
DEL-BOM,Premium,9488
DEL-BOM,Business,12808
DEL-BLR,Economy,4972
DEL-BLR,Premium,7970
DEL-BLR,Business,14258
BOM-BLR,Economy,5558
BOM-BLR,Premium,9920
BOM-BLR,Business,17742
DEL-HYD,Economy,4346
DEL-HYD,Premium,9565
DEL-HYD,Business,14117
BLR-HYD,Economy,4749
BLR-HYD,Premium,7833
BLR-HYD,Business,14152
DEL-BOM,Economy,3018
DEL-BOM,Premium,8694
DEL-BOM,Business,16144
DEL-BLR,Economy,4572
DEL-BLR,Premium,9199
DEL-BLR,Business,13175
BOM-BLR,Economy,3801
BOM-BLR,Premium,7381
BOM-BLR,Business,15409
DEL-HYD,Economy,5130
DEL-HYD,Premium,8983
DEL-HYD,Business,17547
BLR-HYD,Economy,5369
BLR-HYD,Premium,8158
BLR-HYD,Business,12951
DEL-BOM,Economy,4590
DEL-BOM,Premium,8960
