date,route,fare_class,tickets_sold,price,revenue
2024-01-05,DEL-BLR,Economy,180,4959,892620
2024-01-05,DEL-BLR,Premium,101,6640,670640
2024-01-05,DEL-BLR,Business,197,14061,2770017
2024-01-05,BOM-BLR,Economy,61,4634,282674
2024-01-05,BOM-BLR,Premium,109,7016,764744
2024-01-05,BOM-BLR,Business,148,14548,2153104
2024-01-05,DEL-HYD,Economy,56,4183,234248
2024-01-05,DEL-HYD,Premium,118,8863,1045834
2024-01-05,DEL-HYD,Business,150,16197,2429550
2024-01-05,BLR-HYD,Economy,139,4696,652744
2024-01-05,BLR-HYD,Premium,183,6103,1116849
2024-01-05,BLR-HYD,Business,131,10098,1322838
2024-01-06,DEL-BOM,Economy,172,4884,840048
2024-01-06,DEL-BOM,Premium,101,9234,932634
2024-01-06,DEL-BOM,Business,188,16944,3185472
2024-01-06,DEL-BLR,Economy,161,4300,692300
2024-01-06,DEL-BLR,Premium,147,7158,1052226
2024-01-06,DEL-BLR,Business,164,14555,2387020
2024-01-06,BOM-BLR,Economy,134,3469,464846
2024-01-06,BOM-BLR,Premium,177,8277,1465029
2024-01-06,BOM-BLR,Business,70,13354,934780
2024-01-06,DEL-HYD,Economy,46,3225,148350
2024-01-06,DEL-HYD,Premium,116,8926,1035416
2024-01-06,DEL-HYD,Business,80,17683,1414640
2024-01-06,BLR-HYD,Economy,54,4215,227610
2024-01-06,BLR-HYD,Premium,36,8205,295380
2024-01-06,BLR-HYD,Business,136,11060,1504160
2024-01-07,DEL-BOM,Economy,43,5544,238392
2024-01-07,DEL-BOM,Premium,118,6992,825056
2024-01-07,DEL-BOM,Business,179,13327,2385533
2024-01-07,DEL-BLR,Economy,86,3127,268922
2024-01-07,DEL-BLR,Premium,73,7346,536258
2024-01-07,DEL-BLR,Business,193,14014,2704702
2024-01-07,BOM-BLR,Economy,105,4686,492030
2024-01-07,BOM-BLR,Premium,174,7409,1289166
2024-01-07,BOM-BLR,Business,123,17206,2116338
2024-01-07,DEL-HYD,Economy,189,5806,1097334
2024-01-07,DEL-HYD,Premium,69,8455,583395
2024-01-07,DEL-HYD,Business,79,17992,1421368
2024-01-07,BLR-HYD,Economy,55,3684,202620
2024-01-07,BLR-HYD,Premium,27,6399,172773
2024-01-07,BLR-HYD,Business,134,15919,2133146
2024-01-08,DEL-BOM,Economy,105,3050,320250
2024-01-08,DEL-BOM,Premium,82,8197,672154
2024-01-08,DEL-BOM,Business,77,14777,1137829
2024-01-08,DEL-BLR,Economy,89,4077,362853
2024-01-08,DEL-BLR,Premium,120,9124,1094880
2024-01-08,DEL-BLR,Business,127,15315,1945005
2024-01-08,BOM-BLR,Economy,25,3876,96900
2024-01-08,BOM-BLR,Premium,113,8914,1007282
2024-01-08,BOM-BLR,Business,187,14465,2704955
2024-01-08,DEL-HYD,Economy,143,4129,590447
2024-01-08,DEL-HYD,Premium,164,6830,1120120
2024-01-08,DEL-HYD,Business,109,18308,1995572
2024-01-08,BLR-HYD,Economy,81,5838,472878
2024-01-08,BLR-HYD,Premium,159,7664,1218576
2024-01-08,BLR-HYD,Business,141,17805,2510505
2024-01-09,DEL-BOM,Economy,137,3559,487583
2024-01-09,DEL-BOM,Premium,136,9343,1270648
2024-01-09,DEL-BOM,Business,88,18130,1595440
2024-01-09,DEL-BLR,Economy,95,3153,299535
2024-01-09,DEL-BLR,Premium,105,9356,982380
2024-01-09,DEL-BLR,Business,88,16617,1462296
2024-01-09,BOM-BLR,Economy,195,5388,1050660
2024-01-09,BOM-BLR,Premium,52,6356,330512
2024-01-09,BOM-BLR,Business,29,12849,372621
2024-01-09,DEL-HYD,Economy,199,5809,1155991
2024-01-09,DEL-HYD,Premium,115,7015,806725
2024-01-09,DEL-HYD,Business,23,15878,365194
2024-01-09,BLR-HYD,Economy,21,3496,73416
2024-01-09,BLR-HYD,Premium,103,7931,816893
2024-01-09,BLR-HYD,Business,182,14000,2548000
2024-01-10,DEL-BOM,Economy,198,4636,917928
2024-01-10,DEL-BOM,Premium,84,7191,604044
2024-01-10,DEL-BOM,Business,62,14107,874634
2024-01-10,DEL-BLR,Economy,114,5546,632244
2024-01-10,DEL-BLR,Premium,100,6775,677500
2024-01-10,DEL-BLR,Business,173,10417,1802141
2024-01-10,BOM-BLR,Economy,134,3616,484544
2024-01-10,BOM-BLR,Premium,77,7516,578732
2024-01-10,BOM-BLR,Business,139,17164,2385796
2024-01-10,DEL-HYD,Economy,183,4892,895236
2024-01-10,DEL-HYD,Premium,196,7571,1483916
2024-01-10,DEL-HYD,Business,115,17357,1996055
2024-01-10,BLR-HYD,Economy,56,4548,254688
2024-01-10,BLR-HYD,Premium,124,7296,904704
2024-01-10,BLR-HYD,Business,131,14492,1898452
2024-01-11,DEL-BOM,Economy,38,5224,198512
2024-01-11,DEL-BOM,Premium,166,6264,1039824
2024-01-11,DEL-BOM,Business,47,14946,702462
2024-01-11,DEL-BLR,Economy,130,3143,408590
2024-01-11,DEL-BLR,Premium,159,8938,1421142
2024-01-11,DEL-BLR,Business,72,11062,796464
2024-01-11,BOM-BLR,Economy,128,4065,520320
2024-01-11,BOM-BLR,Premium,141,9234,1301994
2024-01-11,BOM-BLR,Business,94,16731,1572714
2024-01-11,DEL-HYD,Economy,28,3953,110684
2024-01-11,DEL-HYD,Premium,26,7676,199576
2024-01-11,DEL-HYD,Business,189,16938,3201282
2024-01-11,BLR-HYD,Economy,141,4217,594597
2024-01-11,BLR-HYD,Premium,184,8386,1543024
2024-01-11,BLR-HYD,Business,84,19872,1669248
2024-01-12,DEL-BOM,Economy,90,3216,289440
2024-01-12,DEL-BOM,Premium,55,8492,467060
2024-01-12,DEL-BOM,Business,186,15977,2971722
2024-01-12,DEL-BLR,Economy,38,3038,115444
2024-01-12,DEL-BLR,Premium,160,7243,1158880
2024-01-12,DEL-BLR,Business,77,18647,1435819
2024-01-12,BOM-BLR,Economy,80,3894,311520
2024-01-12,BOM-BLR,Premium,150,8395,1259250
2024-01-12,BOM-BLR,Business,132,15029,1983828
2024-01-12,DEL-HYD,Economy,136,3133,426088
2024-01-12,DEL-HYD,Premium,192,8220,1578240
2024-01-12,DEL-HYD,Business,66,15348,1012968
2024-01-12,BLR-HYD,Economy,183,4250,777750
2024-01-12,BLR-HYD,Premium,68,7166,487288
2024-01-12,BLR-HYD,Business,20,18053,361060
2024-01-13,DEL-BOM,Economy,22,5703,125466
2024-01-13,DEL-BOM,Premium,31,8783,272273
2024-01-13,DEL-BOM,Business,121,19337,2339777
2024-01-13,DEL-BLR,Economy,111,5723,635253
2024-01-13,DEL-BLR,Premium,79,8779,693541
2024-01-13,DEL-BLR,Business,60,16042,962520
2024-01-13,BOM-BLR,Economy,164,4224,692736
2024-01-13,BOM-BLR,Premium,176,7581,1334256
2024-01-13,BOM-BLR,Business,153,10255,1569015
2024-01-13,DEL-HYD,Economy,66,4944,326304
2024-01-13,DEL-HYD,Premium,75,9313,698475
2024-01-13,DEL-HYD,Business,128,11015,1409920
2024-01-13,BLR-HYD,Economy,52,3373,175396
2024-01-13,BLR-HYD,Premium,196,6852,1342992
2024-01-13,BLR-HYD,Business,82,16970,1391540
2024-01-14,DEL-BOM,Economy,46,3688,169648
2024-01-14,DEL-BOM,Premium,117,9170,1072890
2024-01-14,DEL-BOM,Business,148,12000,1776000
2024-01-14,DEL-BLR,Economy,114,4668,532152
2024-01-14,DEL-BLR,Premium,42,6713,281946
2024-01-14,DEL-BLR,Business,164,12048,1975872
2024-01-14,BOM-BLR,Economy,70,3684,257880
2024-01-14,BOM-BLR,Premium,132,7823,1032636
2024-01-14,BOM-BLR,Business,114,10249,1168386
2024-01-14,DEL-HYD,Economy,181,3437,622097
2024-01-14,DEL-HYD,Premium,142,7984,1133728
2024-01-14,DEL-HYD,Business,152,16544,2514688
2024-01-14,BLR-HYD,Economy,131,5814,761634
2024-01-14,BLR-HYD,Premium,104,8122,844688
2024-01-14,BLR-HYD,Business,122,16949,2067778
2024-01-15,DEL-BOM,Economy,69,5145,355005
2024-01-15,DEL-BOM,Premium,98,8482,831236
2024-01-15,DEL-BOM,Business,185,14637,2707845
2024-01-15,DEL-BLR,Economy,125,5128,641000
2024-01-15,DEL-BLR,Premium,151,8231,1242881
2024-01-15,DEL-BLR,Business,93,15971,1485303
2024-01-15,BOM-BLR,Economy,88,5593,492184
2024-01-15,BOM-BLR,Premium,145,9823,1424335
2024-01-15,BOM-BLR,Business,130,17350,2255500
2024-01-15,DEL-HYD,Economy,99,5142,509058
2024-01-15,DEL-HYD,Premium,27,6359,171693
2024-01-15,DEL-HYD,Business,44,10666,469304
2024-01-15,BLR-HYD,Economy,112,3671,411152
2024-01-15,BLR-HYD,Premium,70,7489,524230
2024-01-15,BLR-HYD,Business,80,16981,1358480
2024-01-16,DEL-BOM,Economy,20,5692,113840
2024-01-16,DEL-BOM,Premium,109,7968,868512
2024-01-16,DEL-BOM,Business,64,16190,1036160
2024-01-16,DEL-BLR,Economy,140,5261,736540
2024-01-16,DEL-BLR,Premium,126,6047,761922
2024-01-16,DEL-BLR,Business,100,11276,1127600
2024-01-16,BOM-BLR,Economy,199,5766,1147434
2024-01-16,BOM-BLR,Premium,75,6525,489375
2024-01-16,BOM-BLR,Business,97,14621,1418237
2024-01-16,DEL-HYD,Economy,75,3882,291150
2024-01-16,DEL-HYD,Premium,130,8797,1143610
2024-01-16,DEL-HYD,Business,37,11906,440522
2024-01-16,BLR-HYD,Economy,34,4215,143310
2024-01-16,BLR-HYD,Premium,58,7296,423168
2024-01-16,BLR-HYD,Business,145,16288,2361760
2024-01-17,DEL-BOM,Economy,32,5072,162304
2024-01-17,DEL-BOM,Premium,86,8156,701416
2024-01-17,DEL-BOM,Business,130,19685,2559050
2024-01-17,DEL-BLR,Economy,53,3622,191966
2024-01-17,DEL-BLR,Premium,102,8660,883320
2024-01-17,DEL-BLR,Business,45,10876,489420
2024-01-17,BOM-BLR,Economy,140,4312,603680
2024-01-17,BOM-BLR,Premium,89,8671,771719
2024-01-17,BOM-BLR,Business,81,13735,1112535
2024-01-17,DEL-HYD,Economy,74,4160,307840
2024-01-17,DEL-HYD,Premium,50,6228,311400
2024-01-17,DEL-HYD,Business,25,18195,454875
2024-01-17,BLR-HYD,Economy,98,3645,357210
2024-01-17,BLR-HYD,Premium,198,7464,1477872
2024-01-17,BLR-HYD,Business,98,16316,1598968
2024-01-18,DEL-BOM,Economy,63,4668,294084
2024-01-18,DEL-BOM,Premium,87,6723,584901
2024-01-18,DEL-BOM,Business,39,12048,469872
2024-01-18,DEL-BLR,Economy,109,3653,398177
2024-01-18,DEL-BLR,Premium,56,6138,343728
2024-01-18,DEL-BLR,Business,22,10009,220198
2024-01-18,BOM-BLR,Economy,24,4942,118608
2024-01-18,BOM-BLR,Premium,149,7191,1071459
2024-01-18,BOM-BLR,Business,84,12832,1077888
2024-01-18,DEL-HYD,Economy,28,4994,139832
2024-01-18,DEL-HYD,Premium,113,9888,1117344
2024-01-18,DEL-HYD,Business,81,11908,964548
2024-01-18,BLR-HYD,Economy,139,4160,578240
2024-01-18,BLR-HYD,Premium,54,7319,395226
2024-01-18,BLR-HYD,Business,169,18007,3043183
2024-01-19,DEL-BOM,Economy,30,3872,116160
2024-01-19,DEL-BOM,Premium,79,7314,577806
2024-01-19,DEL-BOM,Business,184,17546,3228464
2024-01-19,DEL-BLR,Economy,97,5621,545237
2024-01-19,DEL-BLR,Premium,61,8449,515389
2024-01-19,DEL-BLR,Business,123,17804,2189892
2024-01-19,BOM-BLR,Economy,185,4888,904280
2024-01-19,BOM-BLR,Premium,162,8712,1411344
2024-01-19,BOM-BLR,Business,72,11970,861840
2024-01-19,DEL-HYD,Economy,153,5626,860778
2024-01-19,DEL-HYD,Premium,61,9571,583831
2024-01-19,DEL-HYD,Business,176,18669,3285744
2024-01-19,BLR-HYD,Economy,174,3419,594906
2024-01-19,BLR-HYD,Premium,174,8336,1450464
2024-01-19,BLR-HYD,Business,105,14612,1534260
2024-01-20,DEL-BOM,Economy,142,4865,690830
2024-01-20,DEL-BOM,Premium,178,8275,1472950
2024-01-20,DEL-BOM,Business,199,13719,2730081
2024-01-20,DEL-BLR,Economy,24,5094,122256
2024-01-20,DEL-BLR,Premium,192,9482,1820544
2024-01-20,DEL-BLR,Business,134,10793,1446262
2024-01-20,BOM-BLR,Economy,62,5116,317192
2024-01-20,BOM-BLR,Premium,66,8349,551034
2024-01-20,BOM-BLR,Business,159,17783,2827497
2024-01-20,DEL-HYD,Economy,130,4639,603070
2024-01-20,DEL-HYD,Premium,119,9204,1095276
2024-01-20,DEL-HYD,Business,91,18795,1710345
2024-01-20,BLR-HYD,Economy,50,4928,246400
2024-01-20,BLR-HYD,Premium,48,7430,356640
2024-01-20,BLR-HYD,Business,65,13417,872105
2024-01-21,DEL-BOM,Economy,129,5467,705243
2024-01-21,DEL-BOM,Premium,76,6566,499016
2024-01-21,DEL-BOM,Business,187,17112,3199944
2024-01-21,DEL-BLR,Economy,72,3201,230472
2024-01-21,DEL-BLR,Premium,136,9874,1342864
2024-01-21,DEL-BLR,Business,44,17973,790812
2024-01-21,BOM-BLR,Economy,149,3474,517626
2024-01-21,BOM-BLR,Premium,36,6938,249768
2024-01-21,BOM-BLR,Business,127,11205,1423035
2024-01-21,DEL-HYD,Economy,171,3024,517104
2024-01-21,DEL-HYD,Premium,107,8224,879968
2024-01-21,DEL-HYD,Business,82,12713,1042466
2024-01-21,BLR-HYD,Economy,175,4492,786100
2024-01-21,BLR-HYD,Premium,100,9432,943200
2024-01-21,BLR-HYD,Business,167,15182,2535394
2024-01-22,DEL-BOM,Economy,123,5608,689784
2024-01-22,DEL-BOM,Premium,160,8262,1321920
2024-01-22,DEL-BOM,Business,142,12079,1715218
2024-01-22,DEL-BLR,Economy,177,5332,943764
2024-01-22,DEL-BLR,Premium,49,6768,331632
2024-01-22,DEL-BLR,Business,194,15083,2926102
2024-01-22,BOM-BLR,Economy,132,5161,681252
2024-01-22,BOM-BLR,Premium,198,9715,1923570
2024-01-22,BOM-BLR,Business,27,18038,487026
2024-01-22,DEL-HYD,Economy,150,3799,569850
2024-01-22,DEL-HYD,Premium,129,9451,1219179
2024-01-22,DEL-HYD,Business,51,10832,552432
2024-01-22,BLR-HYD,Economy,76,5806,441256
2024-01-22,BLR-HYD,Premium,73,9310,679630
2024-01-22,BLR-HYD,Business,86,17970,1545420
2024-01-23,DEL-BOM,Economy,115,4111,472765
2024-01-23,DEL-BOM,Premium,139,8538,1186782
2024-01-23,DEL-BOM,Business,184,15005,2760920
2024-01-23,DEL-BLR,Economy,74,3943,291782
2024-01-23,DEL-BLR,Premium,93,9744,906192
2024-01-23,DEL-BLR,Business,104,13452,1399008
2024-01-23,BOM-BLR,Economy,166,4571,758786
2024-01-23,BOM-BLR,Premium,21,8862,186102
2024-01-23,BOM-BLR,Business,167,11409,1905303
2024-01-23,DEL-HYD,Economy,138,3395,468510
2024-01-23,DEL-HYD,Premium,185,7757,1435045
2024-01-23,DEL-HYD,Business,118,11387,1343666
2024-01-23,BLR-HYD,Economy,43,3592,154456
2024-01-23,BLR-HYD,Premium,78,6735,525330
2024-01-23,BLR-HYD,Business,133,12599,1675667
2024-01-24,DEL-BOM,Economy,44,4781,210364
2024-01-24,DEL-BOM,Premium,23,6441,148143
2024-01-24,DEL-BOM,Business,94,15475,1454650
2024-01-24,DEL-BLR,Economy,60,5981,358860
2024-01-24,DEL-BLR,Premium,184,6587,1212008
2024-01-24,DEL-BLR,Business,136,17992,2446912
2024-01-24,BOM-BLR,Economy,50,3645,182250
2024-01-24,BOM-BLR,Premium,117,7772,909324
2024-01-24,BOM-BLR,Business,72,19900,1432800
2024-01-24,DEL-HYD,Economy,164,5969,978916
2024-01-24,DEL-HYD,Premium,141,6129,864189
2024-01-24,DEL-HYD,Business,73,12866,939218
2024-01-24,BLR-HYD,Economy,55,4394,241670
2024-01-24,BLR-HYD,Premium,168,8058,1353744
2024-01-24,BLR-HYD,Business,183,19442,3557886
2024-01-25,DEL-BOM,Economy,73,3097,226081
2024-01-25,DEL-BOM,Premium,171,6405,1095255
2024-01-25,DEL-BOM,Business,75,17715,1328625
2024-01-25,DEL-BLR,Economy,167,4762,795254
2024-01-25,DEL-BLR,Premium,128,6481,829568
2024-01-25,DEL-BLR,Business,92,15136,1392512
2024-01-25,BOM-BLR,Economy,148,4240,627520
2024-01-25,BOM-BLR,Premium,123,6024,740952
2024-01-25,BOM-BLR,Business,150,18363,2754450
2024-01-25,DEL-HYD,Economy,198,3101,613998
2024-01-25,DEL-HYD,Premium,38,9115,346370
2024-01-25,DEL-HYD,Business,68,13640,927520
2024-01-25,BLR-HYD,Economy,74,4520,334480
2024-01-25,BLR-HYD,Premium,81,6338,513378
2024-01-25,BLR-HYD,Business,168,12421,2086728
2024-01-26,DEL-BOM,Economy,44,5513,242572
2024-01-26,DEL-BOM,Premium,162,9948,1611576
2024-01-26,DEL-BOM,Business,51,14806,755106
2024-01-26,DEL-BLR,Economy,164,4817,789988
2024-01-26,DEL-BLR,Premium,154,6628,1020712
2024-01-26,DEL-BLR,Business,156,18007,2809092
2024-01-26,BOM-BLR,Economy,78,3726,290628
2024-01-26,BOM-BLR,Premium,135,9042,1220670
2024-01-26,BOM-BLR,Business,122,19374,2363628
2024-01-26,DEL-HYD,Economy,171,5667,969057
2024-01-26,DEL-HYD,Premium,117,8852,1035684
2024-01-26,DEL-HYD,Business,127,16640,2113280
2024-01-26,BLR-HYD,Economy,23,4372,100556
2024-01-26,BLR-HYD,Premium,160,9232,1477120
2024-01-26,BLR-HYD,Business,189,18502,3496878
2024-01-27,DEL-BOM,Economy,189,3545,670005
2024-01-27,DEL-BOM,Premium,32,9487,303584
2024-01-27,DEL-BOM,Business,142,12032,1708544
2024-01-27,DEL-BLR,Economy,81,3244,262764
2024-01-27,DEL-BLR,Premium,140,8973,1256220
2024-01-27,DEL-BLR,Business,122,13760,1678720
2024-01-27,BOM-BLR,Economy,22,4165,91630
2024-01-27,BOM-BLR,Premium,87,7981,694347
2024-01-27,BOM-BLR,Business,172,18173,3125756
2024-01-27,DEL-HYD,Economy,92,3398,312616
2024-01-27,DEL-HYD,Premium,107,9211,985577
2024-01-27,DEL-HYD,Business,80,14805,1184400
2024-01-27,BLR-HYD,Economy,58,4463,258854
2024-01-27,BLR-HYD,Premium,81,8273,670113
2024-01-27,BLR-HYD,Business,71,17827,1265717
2024-01-28,DEL-BOM,Economy,112,4333,485296
2024-01-28,DEL-BOM,Premium,129,6824,880296
2024-01-28,DEL-BOM,Business,188,16402,3083576
2024-01-28,DEL-BLR,Economy,139,4796,666644
2024-01-28,DEL-BLR,Premium,196,9170,1797320
2024-01-28,DEL-BLR,Business,80,12466,997280
2024-01-28,BOM-BLR,Economy,197,3849,758253
2024-01-28,BOM-BLR,Premium,22,9810,215820
2024-01-28,BOM-BLR,Business,139,14675,2039825
2024-01-28,DEL-HYD,Economy,161,4380,705180
2024-01-28,DEL-HYD,Premium,124,9394,1164856
2024-01-28,DEL-HYD,Business,48,16881,810288
2024-01-28,BLR-HYD,Economy,95,3169,301055
2024-01-28,BLR-HYD,Premium,24,6954,166896
2024-01-28,BLR-HYD,Business,143,15370,2197910
2024-01-29,DEL-BOM,Economy,152,4199,638248
2024-01-29,DEL-BOM,Premium,56,9020,505120
2024-01-29,DEL-BOM,Business,100,19516,1951600
2024-01-29,DEL-BLR,Economy,81,5396,437076
2024-01-29,DEL-BLR,Premium,86,9111,783546
2024-01-29,DEL-BLR,Business,110,11312,1244320
2024-01-29,BOM-BLR,Economy,25,3215,80375
2024-01-29,BOM-BLR,Premium,187,8400,1570800
2024-01-29,BOM-BLR,Business,32,19908,637056
2024-01-29,DEL-HYD,Economy,189,3355,634095
2024-01-29,DEL-HYD,Premium,185,8054,1489990
2024-01-29,DEL-HYD,Business,77,17561,1352197
2024-01-29,BLR-HYD,Economy,179,5410,968390
2024-01-29,BLR-HYD,Premium,58,8403,487374
2024-01-29,BLR-HYD,Business,31,15343,475633
2024-01-30,DEL-BOM,Economy,32,4690,150080
2024-01-30,DEL-BOM,Premium,123,6699,823977
2024-01-30,DEL-BOM,Business,107,11007,1177749
2024-01-30,DEL-BLR,Economy,89,5514,490746
2024-01-30,DEL-BLR,Premium,82,6571,538822
2024-01-30,DEL-BLR,Business,56,17059,955304
2024-01-30,BOM-BLR,Economy,115,3483,400545
2024-01-30,BOM-BLR,Premium,36,6917,249012
2024-01-30,BOM-BLR,Business,137,14569,1995953
2024-01-30,DEL-HYD,Economy,139,5257,730723
2024-01-30,DEL-HYD,Premium,194,6715,1302710
2024-01-30,DEL-HYD,Business,199,15126,3010074
2024-01-30,BLR-HYD,Economy,48,3906,187488
2024-01-30,BLR-HYD,Premium,130,9999,1299870
2024-01-30,BLR-HYD,Business,48,17266,828768
2024-01-31,DEL-BOM,Economy,160,3038,486080
2024-01-31,DEL-BOM,Premium,48,7098,340704
2024-01-31,DEL-BOM,Business,51,13155,670905
2024-01-31,DEL-BLR,Economy,41,4562,187042
2024-01-31,DEL-BLR,Premium,145,9511,1379095
2024-01-31,DEL-BLR,Business,40,14179,567160
2024-01-31,BOM-BLR,Economy,25,4682,117050
2024-01-31,BOM-BLR,Premium,20,9963,199260
2024-01-31,BOM-BLR,Business,34,13056,443904
2024-01-31,DEL-HYD,Economy,44,3791,166804
2024-01-31,DEL-HYD,Premium,46,7083,325818
2024-01-31,DEL-HYD,Business,164,11050,1812200
2024-01-31,BLR-HYD,Economy,193,5035,971755
2024-01-31,BLR-HYD,Premium,191,7559,1443769
2024-01-31,BLR-HYD,Business,150,10526,1578900
2024-02-01,DEL-BOM,Economy,172,5781,994332
2024-02-01,DEL-BOM,Premium,28,7016,196448
2024-02-01,DEL-BOM,Business,82,16644,1364808
2024-02-01,DEL-BLR,Economy,136,5433,738888
2024-02-01,DEL-BLR,Premium,158,9788,1546504
2024-02-01,DEL-BLR,Business,40,11389,455560
2024-02-01,BOM-BLR,Economy,114,3165,360810
2024-02-01,BOM-BLR,Premium,64,8848,566272
2024-02-01,BOM-BLR,Business,121,10213,1235773
2024-02-01,DEL-HYD,Economy,198,4111,813978
2024-02-01,DEL-HYD,Premium,140,9534,1334760
2024-02-01,DEL-HYD,Business,73,12720,928560
2024-02-01,BLR-HYD,Economy,187,4951,925837
2024-02-01,BLR-HYD,Premium,21,8848,185808
2024-02-01,BLR-HYD,Business,180,17833,3209940
2024-02-02,DEL-BOM,Economy,169,5241,885729
2024-02-02,DEL-BOM,Premium,109,8169,890421
2024-02-02,DEL-BOM,Business,125,11895,1486875
2024-02-02,DEL-BLR,Economy,80,4986,398880
2024-02-02,DEL-BLR,Premium,28,9144,256032
2024-02-02,DEL-BLR,Business,60,13911,834660
2024-02-02,BOM-BLR,Economy,197,4883,961951
2024-02-02,BOM-BLR,Premium,81,6250,506250
2024-02-02,BOM-BLR,Business,26,10207,265382
2024-02-02,DEL-HYD,Economy,151,3021,456171
2024-02-02,DEL-HYD,Premium,22,9771,214962
2024-02-02,DEL-HYD,Business,31,11560,358360
2024-02-02,BLR-HYD,Economy,64,4266,273024
2024-02-02,BLR-HYD,Premium,119,7927,943313
2024-02-02,BLR-HYD,Business,51,13665,696915
2024-02-03,DEL-BOM,Economy,165,3661,604065
2024-02-03,DEL-BOM,Premium,124,9714,1204536
2024-02-03,DEL-BOM,Business,54,16078,868212
2024-02-03,DEL-BLR,Economy,116,3902,452632
2024-02-03,DEL-BLR,Premium,178,6956,1238168
2024-02-03,DEL-BLR,Business,167,19579,3269693
2024-02-03,BOM-BLR,Economy,145,5579,808955
2024-02-03,BOM-BLR,Premium,69,8994,620586
2024-02-03,BOM-BLR,Business,124,15631,1938244
2024-02-03,DEL-HYD,Economy,85,5382,457470
2024-02-03,DEL-HYD,Premium,58,7394,428852
2024-02-03,DEL-HYD,Business,144,10529,1516176
2024-02-03,BLR-HYD,Economy,59,5068,299012
2024-02-03,BLR-HYD,Premium,118,9591,1131738
2024-02-03,BLR-HYD,Business,106,16477,1746562
2024-02-04,DEL-BOM,Economy,21,3374,70854
2024-02-04,DEL-BOM,Premium,81,7851,635931
2024-02-04,DEL-BOM,Business,33,13155,434115
2024-02-04,DEL-BLR,Economy,149,3837,571713
2024-02-04,DEL-BLR,Premium,85,6260,532100
